name,street,Category
,,Other
US Labs,,Other
General Atomics,"San Diego, CA, USA",MDSplus
PPPL,"Princeton, NJ, USA",MDSplus
ORNL,"Oak Ridge, TN, USA",Other
LLNL,"Livermore, CA, USA",Other
LBNL,"Berkeley, CA, USA",Other
LANL,"Los Alamos, NM, USA",MDSplus
ANL,"Lemont, IL, USA",Other
NRL,"Washington DC, USA",MDSplus
SNL,"Albuquerque, NM, USA",Other
,,Other
US Universities,,Other
MIT,"Cambridge, MA, USA",MDSplus
U. Washington,"Seatle, WA, USA",MDSplus
U. Illinois Urbana Champaign,"Urbana, IL, USA",Other
U. Wisconsin,"Madison, WI, USA",MDSplus
U. West Virginia,"Morgantow, WV, USA",Other
U. Alaska,"Fairbanks, AK, USA",Other
Swarthmore College,"Swarthmore, PA, USA",Other
Columbia University,"New York, NY, USA",MDSplus
Auburn University,"Auburn, AL, USA",MDSplus
New York University,"New York, NY, USA",Other
Purdue University,"West Lafayette, IN, USA",Other
U. Tennessee Knoxville,"Knoxville, TN, USA",Other
Princeton U,"Princeton, NJ, USA",Other
UCSD,"San Diego, CA, USA",MDSplus
UCLA,"Los Angeles, CA, USA",Other
UC-Davis,"Davis, CA, USA",Other
UC-Irvine,"Irvine, CA, USA",Other
Cal Tech,"Pasadena, CA, USA",Other
Georgia Tech,"Atlanta, GA, USA",Other
U. Maryland,"College Park, MD, USA",Other
Dartmouth College,"Hanover, NH, USA",Other
U. Texas,"Austin, TX, USA",MDSplus
College of William and Mary,"Williamsburg, VA, USA",Other
U. Iowa,"Iowa City, IA, USA",Other
,,Other
,,Other
International,,Other
IPP-Garching,"Garching, Germany",MDSplus
IPP-Greiswald,"Greiswald, Germany",MDSplus
FZJ,"Julich, Germany",Other
KIT,"Karlsruhe, Germany",Other
ENEA,"Franscati, Italy",MDSplus
IGI,"Padua, Italy",MDSplus
Ioffe Istitute,"St. Petersburg, Russia",Other
"Troitsk Institute, TRINITY","Moscow, Russian",Other
Budker Institute,"Novosibirsk, Russia",Other
Kurchatov Institute,"Moscow, Russia",MDSplus
CCFE,"Culham, UK",MDSplus
CRPP-EPFL,"Luissane, Switzerland",MDSplus
CEA,"Caderache, France",MDSplus
ITER,"Caderache, France",MDSplus
FOM-DIFFER,"Eindhoven, Netherlands",Other
CIEMAT,"Madrid, Spain",MDSplus
Imperial College,"London, UK",Other
U. of York,"York, UK",MDSplus
U. Manchester,"Manchester, UK",Other
U. Glasgow,"Glasgow, UK",Other
Queen's University,"Belfast, Ireland",Other
Australia National University,"Canberra, Australia",MDSplus
U of Sydney,"Sydney, Australia",MDSplus
CFN,"Lisbon, Portugal",MDSplus
IPP,"Prague, Czech Republic",MDSplus
Czech Technical University,"Prague, Czech Republic",Other
ASIPP,"Hefei, China",MDSplus
SWIP,"Chengdu, China",MDSplus
,"Wuhan, China",MDSplus
Plasma Physics Research Center,"Tehran, Iran",Other
"NFI, JAEA","Naka, Japan",Other
NIFS,"Toki, Japan",Other
U. Tokyo,"Tokyo, Japan",Other
Kyoto University,"Kyoto, Japan",MDSplus
Hyushu University,"Kyushu, Japan",Other
Nagoya Unversity,"Nagoya, Japan",Other
NFRI,"Daejeon, South Korea",MDSplus
POSTECH,"Phang, South Korea",Other
,"Gandhinagar, India",MDSplus
,Costa Rica,Other
University of Mexico,"Mexico City, Mexico",Other
University of Sao Paulo,"Sao Paulo, Brazil",MDSplus
CONICET,"Buenos Aires, Brazil",MDSplus
U. Of Saskatchewan,"Saskatoon, CA",Other
U. Tromso,"Tromso, Norway",Other
U. Oslo,"Oslo, Norway",Other
