"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"0","dollar","$","Else","undef","undef","XX","YY","XX","YY","0","0","ARG","argument for put"
"1","A0","$A0","Constant","undef","A0","F","HC","F","HC","0","0","CONST","Bohr radius"
"2","Alpha","$ALPHA","Constant","undef","Alpha","F","HC","F","HC","0","0","CONST","1/137"
"3","Amu","$AMU","Constant","undef","Amu","F","HC","F","HC","0","0","CONST","atomic mass unit"
"4","C","$C","Constant","undef","C","F","HC","F","HC","0","0","CONST","light speed"
"5","Cal","$CAL","Constant","undef","Cal","F","HC","F","HC","0","0","CONST","calorie to J"
"6","Degree","$DEGREE","Constant","undef","Degree","F","HC","F","HC","0","0","CONST","degree to rad"
"7","Ev","$EV","Constant","undef","Ev","F","HC","F","HC","0","0","CONST","electron volt"
"8","False","$FALSE","Constant","undef","False","VV","VV","VV","VV","0","0","CONST","0bu"
"9","Faraday","$FARADAY","Constant","undef","Faraday","F","HC","F","HC","0","0","CONST","Faraday constant"
"10","G","$G","Constant","undef","G","F","HC","F","HC","0","0","CONST","gravity"
"11","Gas","$GAS","Constant","undef","Gas","F","HC","F","HC","0","0","CONST","gas"
"12","H","$H","Constant","undef","H","F","HC","F","HC","0","0","CONST","Planck"
"13","Hbar","$HBAR","Constant","undef","Hbar","F","HC","F","HC","0","0","CONST","2*pi*Planck "
"14","I","$I","Constant","undef","I","F","HC","FC","HC","0","0","CONST","imaginary"
"15","K","$K","Constant","undef","K","F","HC","F","HC","0","0","CONST","Boltzmann"
"16","Me","$ME","Constant","undef","Me","F","HC","F","HC","0","0","CONST","mass electron"
"17","Missing","$MISSING","Constant","undef","Missing","XX","YY","XX","YY","0","0","CONST+I","missing arg"
"18","Mp","$MP","Constant","undef","Mp","F","HC","F","HC","0","0","CONST","mass proton"
"19","N0","$N0","Constant","undef","N0","F","HC","F","HC","0","0","CONST","Loschmidt's numb"
"20","Na","$NA","Constant","undef","Na","F","HC","F","HC","0","0","CONST","Avogadro number"
"21","P0","$P0","Constant","undef","P0","F","HC","F","HC","0","0","CONST","atmospheric pres"
"22","Pi","$PI","Constant","undef","Pi","F","HC","F","HC","0","0","CONST","pi"
"23","Qe","$QE","Constant","undef","Qe","F","HC","F","HC","0","0","CONST","charge electron"
"24","Re","$RE","Constant","undef","Re","F","HC","F","HC","0","0","CONST","classical el.rad"
"25","Roprand","$ROPRAND","Constant","undef","Roprand","F","HC","F","HC","0","0","CONST+I","vax	bad floating"
"26","Rydberg","$RYDBERG","Constant","undef","Rydberg","F","HC","F","HC","0","0","CONST","Rydberg constant"
"27","T0","$T0","Constant","undef","T0","F","HC","F","HC","0","0","CONST","standard temp."
"28","Torr","$TORR","Constant","undef","Torr","F","HC","F","HC","0","0","CONST","1mm Hg pressure"
"29","True","$TRUE","Constant","undef","True","VV","VV","VV","VV","0","0","CONST","1bu"
"30","Value","$VALUE","Value","undef","undef","XX","YY","XX","YY","0","0","CONST","raw value in sig"
"31","Abort","ABORT","Abort","undef","undef","XX","YY","XX","YY","0","255","OK+U","() "
"32","Abs","ABS","Same","Abs","Abs","BU","HC","BU","H","1","1","OK","f9	(a)"
"33","Abs1","ABS1","Same","Abs","Abs1","BU","HC","BU","H","1","1","OK","(a) 1-norm"
"34","AbsSq","ABSSQ","Same","Square","AbsSq","BU","HC","BU","H","1","1","OK","(a) abs(a)**2"
"35","Achar","ACHAR","Same","Char","Char","BU","O","T","T","1","2","OK","f9	(i,[dummy_kind])"
"36","Acos","ACOS","Same","None","Acos","F","HC","F","HC","1","1","OK","f9	(x)"
"37","Acosd","ACOSD","Same","None","Acosd","F","HC","F","HC","1","1","OK","vax	(x)"
"38","Add","ADD","Same","Add","Add","BU","HC","BU","HC","2","2","ADD+S","%	a+b"
"39","Adjustl","ADJUSTL","Same","Adjust","Adjustl","BU","T","T","T","1","1","OK","f9	(string)"
"40","Adjustr","ADJUSTR","Same","Adjust","Adjustr","BU","T","T","T","1","1","OK","f9	(string)"
"41","Aimag","AIMAG","Same","Keep","Aimag","BU","HC","BU","H","1","1","OK","f9	(z)"
"42","Aint","AINT","Same","Aint","Aint","F","HC","F","HC","1","2","OK","f9	(a,[kind])"
"43","All","ALL","Trans","Mask1","All","BU","O","VV","VV","1","2","OK","f9	(mask,[dim])"
"44","Allocated","ALLOCATED","Allocated","undef","undef","XX","YY","VV","VV","1","1","OK+U","f9	(array)"
"45","And","AND","Same","Land","And","BU","O","VV","VV","2","2","LAND+N+S ","%	v&&w	v.AND.w"
"46","AndNot","AND_NOT","Same","Land","AndNot","BU","O","VV","VV","2","2","LAND+N","%	(v,w)	v.AND..NOT.w"
"47","Anint","ANINT","Same","Aint","Anint","F","HC","F","HC","1","2","OK","f9	(a,kind)"
"48","Any","ANY","Trans","Mask1","Any","BU","O","VV","VV","1","2","OK","f9	(mask,[dim])"
"49","Arg","ARG","Same","None","Arg","FC","HC","F","H","1","1","OK","(z) atan2(imag,real)"
"50","Argd","ARGD","Same","None","Argd","FC","HC","F","H","1","1","OK","(z) atan2d(imag,real)"
"51","ArgOf","ARG_OF","ArgOf","undef","undef"," FUNCTION","CONDITION","XX","YY","1","2","OK+I","mds	(ext_fun other,[n])"
"52","Array","ARRAY","Array","undef","Zero","XX","YY","FLOAT","F","0","2","OK+U","([size],[kind])"
"53","Asin","ASIN","Same","None","Asin","F","HC","F","HC","1","1","OK","f9	(x)"
"54","Asind","ASIND","Same","None","Asind","F","HC","F","HC","1","1","OK","vax	(x)"
"55","AsIs","AS_IS","AsIs","undef","undef","XX","YY","XX","YY","1","1","MODIFA+N","mds	(any) unevaluated"
"56","Atan","ATAN","Same","None","Atan","F","HC","F","HC","1","1","OK","f9	(x)"
"57","Atan2","ATAN2","Same","Atan2","Atan2","F","HC","F","HC","2","2","OK","f9	(y,x)"
"58","Atan2d","ATAN2D","Same","Atan2","Atan2d","F","HC","F","HC","2","2","OK","vax	(y,x)"
"59","Atand","ATAND","Same","None","Atand","F","HC","F","HC","1","1","OK","vax	(x)"
"60","Atanh","ATANH","Same","None","Atanh","F","HC","F","HC","1","1","OK","vax	(x)"
